cohort,variable,value,n
ELSA,r4toilta,-18,7
ELSA,r4toilta,-4,2
ELSA,r4shopa,0,10039
ELSA,r4shopa,<NA>,10629
ELSA,r4shopa,1,1002
ELSA,r4shopa,-18,7
ELSA,r4shopa,-4,2
ELSA,r4mealsa,0,10528
ELSA,r4mealsa,<NA>,10629
ELSA,r4mealsa,1,513
ELSA,r4mealsa,-18,7
ELSA,r4mealsa,-4,2
ELSA,r4medsa,0,10768
ELSA,r4medsa,<NA>,10629
ELSA,r4medsa,-18,7
ELSA,r4medsa,1,273
ELSA,r4medsa,-4,2
ELSA,r4moneya,0,10673
ELSA,r4moneya,<NA>,10629
ELSA,r4moneya,1,368
ELSA,r4moneya,-18,7
ELSA,r4moneya,-4,2
ELSA,r4proxy,1,446
ELSA,r4proxy,<NA>,10629
ELSA,r4proxy,0,10604
ELSA,r5iwstat,1,10274
ELSA,r5iwstat,9,3405
ELSA,r5iwstat,6,1626
ELSA,r5iwstat,4,839
ELSA,r5iwstat,5,608
ELSA,r5iwstat,0,4919
ELSA,r5iwstat,7,8
ELSA,r5dressa,0,8918
ELSA,r5dressa,<NA>,11405
ELSA,r5dressa,1,1348
ELSA,r5dressa,-18,5
ELSA,r5dressa,-4,3
ELSA,r5batha,0,9249
ELSA,r5batha,<NA>,11405
ELSA,r5batha,1,1017
ELSA,r5batha,-18,5
ELSA,r5batha,-4,3
ELSA,r5eata,0,10026
ELSA,r5eata,<NA>,11405
ELSA,r5eata,1,240
ELSA,r5eata,-18,5
ELSA,r5eata,-4,3
ELSA,r5beda,0,9615
ELSA,r5beda,<NA>,11405
ELSA,r5beda,1,651
ELSA,r5beda,-18,5
ELSA,r5beda,-4,3
ELSA,r5toilta,0,9896
ELSA,r5toilta,<NA>,11405
ELSA,r5toilta,1,370
ELSA,r5toilta,-18,5
ELSA,r5toilta,-4,3
ELSA,r5shopa,0,9259
ELSA,r5shopa,<NA>,11405
ELSA,r5shopa,1,1007
ELSA,r5shopa,-18,5
ELSA,r5shopa,-4,3
ELSA,r5mealsa,0,9748
ELSA,r5mealsa,<NA>,11405
ELSA,r5mealsa,1,518
ELSA,r5mealsa,-18,5
ELSA,r5mealsa,-4,3
ELSA,r5medsa,0,9982
ELSA,r5medsa,<NA>,11405
ELSA,r5medsa,1,284
ELSA,r5medsa,-18,5
ELSA,r5medsa,-4,3
ELSA,r5moneya,0,9885
ELSA,r5moneya,1,381
ELSA,r5moneya,<NA>,11405
ELSA,r5moneya,-18,5
ELSA,r5moneya,-4,3
ELSA,r5proxy,1,537
ELSA,r5proxy,0,9737
ELSA,r5proxy,<NA>,11405
ELSA,r6iwstat,4,332
ELSA,r6iwstat,1,10601
ELSA,r6iwstat,9,4282
ELSA,r6iwstat,6,2234
ELSA,r6iwstat,5,518
ELSA,r6iwstat,0,3704
ELSA,r6iwstat,7,8
ELSA,r6dressa,<NA>,11078
ELSA,r6dressa,1,1330
ELSA,r6dressa,0,9266
ELSA,r6dressa,-18,3
ELSA,r6dressa,-4,2
ELSA,r6batha,<NA>,11078
ELSA,r6batha,0,9586
ELSA,r6batha,1,1010
ELSA,r6batha,-18,3
ELSA,r6batha,-4,2
ELSA,r6eata,<NA>,11078
ELSA,r6eata,0,10313
ELSA,r6eata,1,283
ELSA,r6eata,-18,3
ELSA,r6eata,-4,2
ELSA,r6beda,<NA>,11078
ELSA,r6beda,0,9936
ELSA,r6beda,1,660
ELSA,r6beda,-18,3
ELSA,r6beda,-4,2
ELSA,r6toilta,<NA>,11078
ELSA,r6toilta,0,10211
ELSA,r6toilta,1,385
ELSA,r6toilta,-18,3
ELSA,r6toilta,-4,2
ELSA,r6shopa,<NA>,11078
ELSA,r6shopa,0,9598
ELSA,r6shopa,1,998
ELSA,r6shopa,-18,3
ELSA,r6shopa,-4,2
ELSA,r6mealsa,<NA>,11078
ELSA,r6mealsa,0,10029
ELSA,r6mealsa,1,567
ELSA,r6mealsa,-18,3
ELSA,r6mealsa,-4,2
ELSA,r6medsa,<NA>,11078
ELSA,r6medsa,0,10314
ELSA,r6medsa,1,282
ELSA,r6medsa,-18,3
ELSA,r6medsa,-4,2
ELSA,r6moneya,<NA>,11078
ELSA,r6moneya,0,10183
ELSA,r6moneya,1,413
ELSA,r6moneya,-18,3
ELSA,r6moneya,-4,2
ELSA,r6proxy,<NA>,11078
ELSA,r6proxy,0,9987
ELSA,r6proxy,1,614
ELSA,r7iwstat,1,9666
ELSA,r7iwstat,4,359
ELSA,r7iwstat,9,5699
ELSA,r7iwstat,6,2752
ELSA,r7iwstat,7,8
ELSA,r7iwstat,0,3195
ELSA,r7dressa,0,8501
ELSA,r7dressa,<NA>,12013
ELSA,r7dressa,1,1163
ELSA,r7dressa,-4,2
ELSA,r7batha,0,8778
ELSA,r7batha,<NA>,12013
ELSA,r7batha,1,886
ELSA,r7batha,-4,2
ELSA,r7eata,0,9428
ELSA,r7eata,<NA>,12013
ELSA,r7eata,1,236
ELSA,r7eata,-4,2
ELSA,r7beda,0,9067
ELSA,r7beda,<NA>,12013
ELSA,r7beda,1,597
ELSA,r7beda,-4,2
ELSA,r7toilta,0,9281
ELSA,r7toilta,<NA>,12013
ELSA,r7toilta,1,383
ELSA,r7toilta,-4,2
ELSA,r7shopa,0,8786
ELSA,r7shopa,<NA>,12013
ELSA,r7shopa,1,878
ELSA,r7shopa,-4,2
ELSA,r7mealsa,0,9165
ELSA,r7mealsa,<NA>,12013
ELSA,r7mealsa,1,499
ELSA,r7mealsa,-4,2
ELSA,r7medsa,0,9401
ELSA,r7medsa,<NA>,12013
ELSA,r7medsa,1,263
ELSA,r7medsa,-4,2
ELSA,r7moneya,0,9316
ELSA,r7moneya,<NA>,12013
ELSA,r7moneya,1,348
ELSA,r7moneya,-4,2
ELSA,r7proxy,1,597
ELSA,r7proxy,<NA>,12013
ELSA,r7proxy,0,9069
ELSA,r8iwstat,9,6972
ELSA,r8iwstat,4,346
ELSA,r8iwstat,1,8445
ELSA,r8iwstat,6,2752
ELSA,r8iwstat,7,8
ELSA,r8iwstat,0,3156
ELSA,r8dressa,<NA>,13234
ELSA,r8dressa,0,7362
ELSA,r8dressa,1,1081
ELSA,r8dressa,-18,2
ELSA,r8batha,<NA>,13234
ELSA,r8batha,0,7661
ELSA,r8batha,1,782
ELSA,r8batha,-18,2
ELSA,r8eata,<NA>,13234
ELSA,r8eata,0,8212
ELSA,r8eata,1,231
ELSA,r8eata,-18,2
ELSA,r8beda,<NA>,13234
ELSA,r8beda,0,7949
ELSA,r8beda,1,494
ELSA,r8beda,-18,2
ELSA,r8toilta,<NA>,13234
ELSA,r8toilta,0,8086
ELSA,r8toilta,1,357
ELSA,r8toilta,-18,2
ELSA,r8shopa,<NA>,13234
ELSA,r8shopa,0,7629
ELSA,r8shopa,1,814
ELSA,r8shopa,-18,2
ELSA,r8mealsa,<NA>,13234
ELSA,r8mealsa,0,7956
ELSA,r8mealsa,1,487
ELSA,r8mealsa,-18,2
ELSA,r8medsa,<NA>,13234
ELSA,r8medsa,0,8172
ELSA,r8medsa,1,271
ELSA,r8medsa,-18,2
ELSA,r8moneya,<NA>,13234
ELSA,r8moneya,0,8122
ELSA,r8moneya,1,321
ELSA,r8moneya,-18,2
ELSA,r8proxy,<NA>,13234
ELSA,r8proxy,0,7982
ELSA,r8proxy,1,463
ELSA,r9iwstat,9,8165
ELSA,r9iwstat,1,8736
ELSA,r9iwstat,6,2752
ELSA,r9iwstat,4,141
ELSA,r9iwstat,7,8
ELSA,r9iwstat,0,1877
ELSA,r9dressa,<NA>,12943
ELSA,r9dressa,0,7621
ELSA,r9dressa,1,1110
ELSA,r9dressa,-4,4
ELSA,r9dressa,-18,1
ELSA,r9batha,<NA>,12943
ELSA,r9batha,0,7965
ELSA,r9batha,1,766
ELSA,r9batha,-4,4
ELSA,r9batha,-18,1
ELSA,r9eata,<NA>,12943
ELSA,r9eata,0,8492
ELSA,r9eata,1,239
ELSA,r9eata,-4,4
ELSA,r9eata,-18,1
ELSA,r9beda,<NA>,12943
ELSA,r9beda,0,8176
ELSA,r9beda,1,555
ELSA,r9beda,-4,4
ELSA,r9beda,-18,1
ELSA,r9toilta,<NA>,12943
ELSA,r9toilta,0,8361
ELSA,r9toilta,1,370
ELSA,r9toilta,-4,4
ELSA,r9toilta,-18,1
ELSA,r9shopa,<NA>,12943
ELSA,r9shopa,0,7952
ELSA,r9shopa,1,779
ELSA,r9shopa,-4,4
ELSA,r9shopa,-18,1
ELSA,r9mealsa,<NA>,12943
ELSA,r9mealsa,0,8243
ELSA,r9mealsa,1,488
ELSA,r9mealsa,-4,4
ELSA,r9mealsa,-18,1
ELSA,r9medsa,<NA>,12943
ELSA,r9medsa,0,8433
ELSA,r9medsa,1,298
ELSA,r9medsa,-4,4
ELSA,r9medsa,-18,1
ELSA,r9moneya,<NA>,12943
ELSA,r9moneya,0,8364
ELSA,r9moneya,1,367
ELSA,r9moneya,-4,4
ELSA,r9moneya,-18,1
ELSA,r9proxy,<NA>,12943
ELSA,r9proxy,0,8191
ELSA,r9proxy,1,545
ELSA,r10iwstat,9,11331
ELSA,r10iwstat,1,7588
ELSA,r10iwstat,6,2752
ELSA,r10iwstat,7,8
ELSA,r10dressa,<NA>,14090
ELSA,r10dressa,0,6577
ELSA,r10dressa,1,1010
ELSA,r10dressa,-4,1
ELSA,r10dressa,-18,1
ELSA,r10batha,<NA>,14090
ELSA,r10batha,0,6932
ELSA,r10batha,1,655
ELSA,r10batha,-4,1
ELSA,r10batha,-18,1
ELSA,r10eata,<NA>,14090
ELSA,r10eata,0,7384
ELSA,r10eata,1,203
ELSA,r10eata,-4,1
ELSA,r10eata,-18,1
ELSA,r10beda,<NA>,14090
ELSA,r10beda,0,7091
ELSA,r10beda,1,496
ELSA,r10beda,-4,1
ELSA,r10beda,-18,1
ELSA,r10toilta,<NA>,14090
ELSA,r10toilta,0,7236
ELSA,r10toilta,1,351
ELSA,r10toilta,-4,1
ELSA,r10toilta,-18,1
ELSA,r10shopa,<NA>,14090
ELSA,r10shopa,0,6948
ELSA,r10shopa,1,639
ELSA,r10shopa,-4,1
ELSA,r10shopa,-18,1
ELSA,r10mealsa,<NA>,14090
ELSA,r10mealsa,0,7191
ELSA,r10mealsa,1,396
ELSA,r10mealsa,-4,1
ELSA,r10mealsa,-18,1
ELSA,r10medsa,<NA>,14090
ELSA,r10medsa,0,7401
ELSA,r10medsa,1,186
ELSA,r10medsa,-4,1
ELSA,r10medsa,-18,1
ELSA,r10moneya,<NA>,14090
ELSA,r10moneya,0,7325
ELSA,r10moneya,1,262
ELSA,r10moneya,-4,1
ELSA,r10moneya,-18,1
ELSA,r10proxy,<NA>,14090
ELSA,r10proxy,0,7211
ELSA,r10proxy,1,378
MHAS,raeducl,1,22337
MHAS,raeducl,<NA>,533
MHAS,raeducl,3,3491
MHAS,raeducl,2,798
MHAS,r1iwstat,1,15186
MHAS,r1iwstat,0,11794
MHAS,r1iwstat,4,179
MHAS,r1dressa,0,13147
MHAS,r1dressa,<NA>,13113
MHAS,r1dressa,1,899
MHAS,r1batha,0,14400
MHAS,r1batha,<NA>,12192
MHAS,r1batha,1,567
MHAS,r1eata,0,14655
MHAS,r1eata,<NA>,12194
MHAS,r1eata,1,310
MHAS,r1beda,0,14174
MHAS,r1beda,<NA>,12190
MHAS,r1beda,1,795
MHAS,r1toilta,0,14385
MHAS,r1toilta,<NA>,12204
MHAS,r1toilta,1,570
MHAS,r1shopa,0,12858
MHAS,r1shopa,<NA>,13457
MHAS,r1shopa,1,844
MHAS,r1mealsa,0,12841
MHAS,r1mealsa,<NA>,13816
MHAS,r1mealsa,1,502
MHAS,r1medsa,0,13692
MHAS,r1medsa,<NA>,13132
MHAS,r1medsa,1,335
MHAS,r1moneya,0,13693
MHAS,r1moneya,<NA>,13147
MHAS,r1moneya,1,319
MHAS,r1proxy,0,14154
MHAS,r1proxy,<NA>,11973
MHAS,r1proxy,1,1032
MHAS,r2iwstat,1,13704
MHAS,r2iwstat,0,11929
MHAS,r2iwstat,5,563
MHAS,r2iwstat,4,597
MHAS,r2iwstat,9,366
MHAS,r2dressa,0,11745
MHAS,r2dressa,<NA>,14660
MHAS,r2dressa,1,754
MHAS,r2batha,0,13121
MHAS,r2batha,1,526
MHAS,r2batha,<NA>,13512
MHAS,r2eata,0,13378
MHAS,r2eata,<NA>,13509
MHAS,r2eata,1,272
MHAS,r2beda,0,12976
MHAS,r2beda,<NA>,13508
MHAS,r2beda,1,675
MHAS,r2toilta,0,13156
MHAS,r2toilta,1,495
MHAS,r2toilta,<NA>,13508
MHAS,r2shopa,0,11435
MHAS,r2shopa,<NA>,14898
MHAS,r2shopa,1,826
MHAS,r2mealsa,0,11420
MHAS,r2mealsa,<NA>,15245
MHAS,r2mealsa,1,494
MHAS,r2medsa,0,12193
MHAS,r2medsa,<NA>,14694
MHAS,r2medsa,1,272
MHAS,r2moneya,0,12205
MHAS,r2moneya,<NA>,14674
MHAS,r2moneya,1,280
MHAS,r2proxy,0,12526
MHAS,r2proxy,1,1178
MHAS,r2proxy,<NA>,13455
MHAS,r3iwstat,1,15723
MHAS,r3iwstat,5,2867
MHAS,r3iwstat,0,6959
MHAS,r3iwstat,6,563
MHAS,r3iwstat,4,677
MHAS,r3iwstat,9,370
MHAS,r3dressa,0,13103
MHAS,r3dressa,<NA>,12725
MHAS,r3dressa,1,1331
MHAS,r3batha,0,14928
MHAS,r3batha,<NA>,11492
MHAS,r3batha,1,739
MHAS,r3eata,0,15151
MHAS,r3eata,<NA>,11488
MHAS,r3eata,1,520
MHAS,r3beda,1,1256
MHAS,r3beda,0,14429
MHAS,r3beda,<NA>,11474
MHAS,r3toilta,0,14743
MHAS,r3toilta,<NA>,11482
MHAS,r3toilta,1,934
MHAS,r3shopa,0,12924
MHAS,r3shopa,<NA>,12964
MHAS,r3shopa,1,1271
MHAS,r3mealsa,0,13190
MHAS,r3mealsa,<NA>,13354
MHAS,r3mealsa,1,615
MHAS,r3medsa,0,13944
MHAS,r3medsa,<NA>,12883
MHAS,r3medsa,1,332
MHAS,r3moneya,0,14056
MHAS,r3moneya,<NA>,12760
MHAS,r3moneya,1,343
MHAS,r3proxy,0,14448
MHAS,r3proxy,1,1275
MHAS,r3proxy,<NA>,11436
MHAS,r4iwstat,5,1219
MHAS,r4iwstat,1,14779
MHAS,r4iwstat,6,3430
MHAS,r4iwstat,9,910
MHAS,r4iwstat,0,6085
MHAS,r4iwstat,4,736
MHAS,r4dressa,<NA>,13361
MHAS,r4dressa,0,12296
MHAS,r4dressa,1,1502
MHAS,r4batha,<NA>,12438
MHAS,r4batha,0,13766
MHAS,r4batha,1,955
MHAS,r4eata,<NA>,12436
MHAS,r4eata,0,14180
MHAS,r4eata,1,543
MHAS,r4beda,<NA>,12431
MHAS,r4beda,0,13295
MHAS,r4beda,1,1433
MHAS,r4toilta,<NA>,12447
MHAS,r4toilta,0,13783
MHAS,r4toilta,1,929
MHAS,r4shopa,<NA>,13634
MHAS,r4shopa,0,12119
MHAS,r4shopa,1,1406
MHAS,r4mealsa,<NA>,13878
MHAS,r4mealsa,0,12560
MHAS,r4mealsa,1,721
MHAS,r4medsa,<NA>,13540
MHAS,r4medsa,0,13143
MHAS,r4medsa,1,476
MHAS,r4moneya,<NA>,13420
MHAS,r4moneya,0,13321
MHAS,r4moneya,1,418
MHAS,r4proxy,<NA>,12380
MHAS,r4proxy,0,13850
MHAS,r4proxy,1,929
MHAS,r5iwstat,6,4649
MHAS,r5iwstat,1,17114
MHAS,r5iwstat,5,1146
MHAS,r5iwstat,0,1839
MHAS,r5iwstat,9,992
MHAS,r5iwstat,4,1419
MHAS,r5dressa,<NA>,11407
MHAS,r5dressa,0,14151
MHAS,r5dressa,1,1601
MHAS,r5batha,<NA>,10154
MHAS,r5batha,0,16072
MHAS,r5batha,1,933
MHAS,r5eata,<NA>,10158
MHAS,r5eata,0,16509
MHAS,r5eata,1,492
MHAS,r5beda,<NA>,10155
MHAS,r5beda,0,15766
MHAS,r5beda,1,1238
MHAS,r5toilta,<NA>,10166
MHAS,r5toilta,0,15922
MHAS,r5toilta,1,1071
MHAS,r5shopa,<NA>,11590
MHAS,r5shopa,0,14362
MHAS,r5shopa,1,1207
MHAS,r5mealsa,<NA>,11796
MHAS,r5mealsa,0,14701
MHAS,r5mealsa,1,662
MHAS,r5medsa,<NA>,11467
MHAS,r5medsa,0,15328
MHAS,r5medsa,1,364
MHAS,r5moneya,<NA>,11439
MHAS,r5moneya,0,15350
MHAS,r5moneya,1,370
MHAS,r5proxy,<NA>,10045
MHAS,r5proxy,0,15786
MHAS,r5proxy,1,1328
MHAS,r6iwstat,6,5795
MHAS,r6iwstat,1,15739
MHAS,r6iwstat,0,2371
MHAS,r6iwstat,5,1804
MHAS,r6iwstat,4,815
MHAS,r6iwstat,9,635
MHAS,r6dressa,<NA>,11434
MHAS,r6dressa,0,13852
MHAS,r6dressa,1,1873
MHAS,r6batha,<NA>,11440
MHAS,r6batha,0,14683
MHAS,r6batha,1,1036
MHAS,r6eata,<NA>,11440
MHAS,r6eata,0,15135
MHAS,r6eata,1,584
MHAS,r6beda,<NA>,11431
MHAS,r6beda,0,14302
MHAS,r6beda,1,1426
MHAS,r6toilta,<NA>,11456
MHAS,r6toilta,0,14525
MHAS,r6toilta,1,1178
MHAS,r6shopa,<NA>,12578
MHAS,r6shopa,0,12747
MHAS,r6shopa,1,1834
MHAS,r6mealsa,<NA>,12793
MHAS,r6mealsa,0,13224
MHAS,r6mealsa,1,1142
MHAS,r6medsa,<NA>,12493
MHAS,r6medsa,0,14033
MHAS,r6medsa,1,633
MHAS,r6moneya,<NA>,12259
MHAS,r6moneya,0,14229
MHAS,r6moneya,1,671
MHAS,r6proxy,<NA>,11420
MHAS,r6proxy,0,14484
MHAS,r6proxy,1,1255
CHARLS,w5_raw_db001,1,17791
CHARLS,w5_raw_db001,2,959
CHARLS,w5_raw_db001,3,428
CHARLS,w5_raw_db001,4,171
CHARLS,w5_raw_db001,<NA>,18
CHARLS,w5_raw_db003,1,17633
CHARLS,w5_raw_db003,3,724
CHARLS,w5_raw_db003,2,729
CHARLS,w5_raw_db003,4,263
CHARLS,w5_raw_db003,<NA>,18
CHARLS,w5_raw_db005,1,18645
CHARLS,w5_raw_db005,3,177
CHARLS,w5_raw_db005,2,413
CHARLS,w5_raw_db005,4,114
CHARLS,w5_raw_db005,<NA>,18
CHARLS,w5_raw_db007,1,17816
CHARLS,w5_raw_db007,3,253
CHARLS,w5_raw_db007,2,1128
CHARLS,w5_raw_db007,4,152
CHARLS,w5_raw_db007,<NA>,18
CHARLS,w5_raw_db009,1,16439
CHARLS,w5_raw_db009,3,300
CHARLS,w5_raw_db009,2,2399
CHARLS,w5_raw_db009,4,210
CHARLS,w5_raw_db009,<NA>,19
CHARLS,w5_raw_db016,1,17698
CHARLS,w5_raw_db016,3,468
CHARLS,w5_raw_db016,4,787
CHARLS,w5_raw_db016,2,394
CHARLS,w5_raw_db016,<NA>,20
CHARLS,w5_raw_db014,1,17273
CHARLS,w5_raw_db014,2,662
CHARLS,w5_raw_db014,4,862
CHARLS,w5_raw_db014,3,550
CHARLS,w5_raw_db014,<NA>,20
CHARLS,w5_raw_db020,1,18081
CHARLS,w5_raw_db020,2,470
CHARLS,w5_raw_db020,3,531
CHARLS,w5_raw_db020,4,265
CHARLS,w5_raw_db020,<NA>,20
CHARLS,w5_raw_db022,1,17414
CHARLS,w5_raw_db022,3,617
CHARLS,w5_raw_db022,4,823
CHARLS,w5_raw_db022,2,493
CHARLS,w5_raw_db022,<NA>,20
